IP	Payload	Type	Result
192.168.1.26	{"update":{"crc32":"3A125413", "url":"http://wcars.applianceconnect.net/firmware/Cooking/NAR/WOC54EC/W11316388/W11316388.signed.enc"}}	HMI Downgrade	PENDING
192.168.1.26	{"update":{"crc32":"6c7ff155", "url":"http://wcars.applianceconnect.net/firmware/Cooking/NAR/WOC54EC/W11330987/W11330987.signed.enc"}}	HMI Upgrade	PENDING
